id,category,subcategory,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,fun_fact,xp_reward,time_limit,tags,exam_relevance,source,source_file,content_id,session,module,answer_type,word_limit,time_limit_seconds,xp,active,olq,notes,status
DEF-0343,DRDO & Defence Technology,DRDO,Medium,MCQ,Which DRDO programme led to the development of the Agni missile series?,Strategic Rocket Development Initiative,Integrated Space Research Programme,National Missile Shield Programme,Integrated Guided Missile Development Programme (IGMDP),D,"IGMDP, launched in the 1980s, aimed to make India self-reliant in missile technology across multiple categories.","The programme produced not just Agni but also Prithvi, Akash, Trishul, and Nag missiles.",15,45,"{""DRDO & Defence Technology"",""DRDO""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0344,DRDO & Defence Technology,DRDO,Medium,MCQ,"Dr. APJ Abdul Kalam, later President of India, played a key leadership role in which DRDO-related programme?",India's missile development programme,India's naval shipbuilding programme,India's submarine reactor programme,India's fighter jet engine programme,A,Kalam's work on missile technology earned him the nickname 'Missile Man of India'.,"He later became India's 11th President, serving from 2002 to 2007.",15,45,"{""DRDO & Defence Technology"",""DRDO""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0345,DRDO & Defence Technology,Defence PSUs,Medium,MCQ,Hindustan Aeronautics Limited (HAL) primarily specialises in manufacturing which type of equipment?,Warships and submarines,Aircraft and helicopters,Small arms and ammunition,Tanks and armoured vehicles,B,"HAL manufactures and maintains a wide range of military aircraft and helicopters, including licence-built and indigenous designs.",It is one of Asia's oldest and largest aerospace companies.,15,45,"{""DRDO & Defence Technology"",""Defence PSUs""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0346,DRDO & Defence Technology,Defence PSUs,Medium,MCQ,Bharat Electronics Limited (BEL) primarily specialises in producing which type of defence equipment?,Aircraft engines,Warships,"Electronics, radar, and communication systems",Tanks,C,"BEL supplies critical radar, sonar, and communication systems used across the Army, Navy, and Air Force.",It plays a key role in India's efforts to indigenise defence electronics.,15,45,"{""DRDO & Defence Technology"",""Defence PSUs""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0347,DRDO & Defence Technology,Defence PSUs,Medium,MCQ,Bharat Dynamics Limited (BDL) primarily manufactures which type of defence products?,Small arms,Fighter aircraft,Warships,Guided missiles,D,BDL produces missiles like Akash and anti-tank guided missiles for India's armed forces.,It plays a central role in translating DRDO's missile designs into mass-produced operational weapons.,15,45,"{""DRDO & Defence Technology"",""Defence PSUs""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0348,DRDO & Defence Technology,Defence PSUs,Medium,MCQ,"Mazagon Dock Shipbuilders Limited, based in Mumbai, primarily builds which type of vessels?",Warships and submarines,Fighter aircraft,Tanks,Missiles,A,"Mazagon Dock has built several major classes of Indian Navy destroyers, frigates, and submarines.",It has played a key role in constructing the Kalvari-class (Scorpene) submarines under French collaboration.,15,45,"{""DRDO & Defence Technology"",""Defence PSUs""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0349,DRDO & Defence Technology,Defence PSUs,Medium,MCQ,"Which defence public sector shipyard, based in Kolkata, is a major builder of Indian Navy frigates and corvettes?",Cochin Shipyard Limited,Garden Reach Shipbuilders and Engineers (GRSE),Goa Shipyard Limited,Mazagon Dock Limited,B,"GRSE has built numerous frigates, corvettes, and support vessels for the Indian Navy over the decades.","It is one of India's oldest defence shipyards, with a history stretching back over a century.",15,45,"{""DRDO & Defence Technology"",""Defence PSUs""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0350,DRDO & Defence Technology,Policy,Medium,MCQ,Atmanirbhar Bharat' in the defence sector primarily refers to which government push?,Privatising all defence PSUs immediately,Increasing defence imports from allied nations,Self-reliance in defence manufacturing and reduced import dependence,Reducing the size of the armed forces,C,"The initiative encourages domestic design, development, and manufacturing of defence equipment to reduce reliance on imports.",It includes measures like 'positive indigenisation lists' specifying items that can no longer be imported.,15,45,"{""DRDO & Defence Technology"",""Policy""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0351,DRDO & Defence Technology,Policy,Medium,MCQ,The Defence Acquisition Procedure (DAP) primarily governs which aspect of India's defence sector?,Pension calculations for veterans,Recruitment of soldiers,Officer promotion criteria,Procurement processes for defence equipment,D,"DAP lays down the rules and categories (like 'Buy Indian', 'Buy and Make') for how the armed forces acquire equipment.","It is periodically revised to reflect evolving priorities, including a greater push for indigenisation.",15,45,"{""DRDO & Defence Technology"",""Policy""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0352,DRDO & Defence Technology,Policy,Medium,MCQ,Make in India' initiatives in the defence sector aim to encourage what specifically?,"Domestic manufacturing of defence equipment, including by private industry",Only government-run defence PSU production,Complete elimination of all defence imports immediately,Exporting India's entire existing defence stockpile,A,The initiative opened up defence manufacturing to greater private sector participation alongside traditional public sector production.,It aims to build a robust domestic defence industrial base over the long term.,15,45,"{""DRDO & Defence Technology"",""Policy""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0353,DRDO & Defence Technology,Space & Defence,Medium,MCQ,Mission Shakti (2019) demonstrated India's capability in which technological domain?,Submarine-launched missile technology,Anti-satellite (ASAT) missile technology,Stealth aircraft technology,Cyber warfare technology,B,"Mission Shakti saw India successfully destroy one of its own satellites in orbit, demonstrating ASAT capability.","This made India the fourth country in the world to demonstrate this capability, after the US, Russia, and China.",15,45,"{""DRDO & Defence Technology"",""Space & Defence""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0354,DRDO & Defence Technology,Space & Defence,Medium,MCQ,"The Defence Space Agency, established to coordinate India's military space capabilities, works closely with which other agency?",Only the Ministry of External Affairs,"Only DRDO, with no ISRO involvement",ISRO (Indian Space Research Organisation),Only private telecom companies,C,"The Defence Space Agency coordinates military applications of space technology, often in coordination with ISRO's launch and satellite capabilities.",This reflects the increasing overlap between civilian space technology and military applications worldwide.,15,45,"{""DRDO & Defence Technology"",""Space & Defence""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0355,DRDO & Defence Technology,Cyber & Electronic Warfare,Medium,MCQ,"The Defence Cyber Agency, one of India's tri-service agencies, is primarily responsible for what?",Running defence public relations campaigns,Building physical border fences,Managing veteran pensions,Coordinating cyber security and cyber warfare capabilities across the armed forces,D,This agency was established to address the growing importance of cyber capabilities in modern conflict.,It works alongside the Defence Space Agency and Special Operations Division as part of India's push toward integrated theatre commands.,15,45,"{""DRDO & Defence Technology"",""Cyber & Electronic Warfare""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0356,DRDO & Defence Technology,Nuclear Policy,Medium,MCQ,India's declared nuclear doctrine is generally described using which key principle?,No First Use (NFU),First strike priority,Total nuclear disarmament with no deterrent,Automatic retaliation without political authorisation,A,"India's doctrine states it will not be the first to use nuclear weapons, but will respond with massive retaliation if attacked with them.",This doctrine has been a subject of ongoing policy discussion regarding its scope and application.,15,45,"{""DRDO & Defence Technology"",""Nuclear Policy""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0357,DRDO & Defence Technology,Nuclear Policy,Medium,MCQ,"The Nuclear Command Authority, responsible for India's nuclear weapons decisions, is headed politically by whom?",The Chief of Defence Staff,The Prime Minister,The President,The Defence Minister,B,"The Nuclear Command Authority ensures civilian political control over India's nuclear arsenal, with the Prime Minister as the final decision-making authority.",This structure reflects India's emphasis on strict civilian oversight of nuclear weapons.,15,45,"{""DRDO & Defence Technology"",""Nuclear Policy""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0358,DRDO & Defence Technology,Testing,Medium,MCQ,"Pokhran, the site of India's nuclear tests in 1974 and 1998, is located in which state?",Madhya Pradesh,Gujarat,Rajasthan,Punjab,C,Pokhran's remote desert location made it suitable for underground nuclear testing.,"The 1998 tests, known as Pokhran-II, confirmed India's status as a nuclear weapons state.",15,45,"{""DRDO & Defence Technology"",""Testing""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0359,DRDO & Defence Technology,Testing,Medium,MCQ,India's first nuclear test in 1974 was code-named?,Agni Pariksha,Shakti,"Pokhran-I officially, though also known by another codename referenced here",Smiling Buddha,D,Smiling Buddha was described by India at the time as a 'peaceful nuclear explosion'.,This test made India the sixth country in the world to conduct a nuclear test.,15,45,"{""DRDO & Defence Technology"",""Testing""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0360,DRDO & Defence Technology,Testing,Medium,MCQ,India's 1998 nuclear tests were code-named?,Operation Shakti,Smiling Buddha,Operation Trident,Operation Agni,A,Operation Shakti comprised a series of five nuclear tests conducted at Pokhran in May 1998.,These tests led to international sanctions but also cemented India's status as a nuclear weapons power.,15,45,"{""DRDO & Defence Technology"",""Testing""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0361,DRDO & Defence Technology,Missile Defence,Medium,MCQ,India's Ballistic Missile Defence (BMD) programme is designed to intercept threats at which stages?,Only after impact on the ground,Both exo-atmospheric and endo-atmospheric stages,Only during the missile's initial launch phase,"Only in outer space, far beyond Earth's atmosphere",B,The two-tier system uses different interceptors (PDV and AAD) for engagement at different altitudes.,This layered approach increases the probability of successfully intercepting an incoming missile.,15,45,"{""DRDO & Defence Technology"",""Missile Defence""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0362,DRDO & Defence Technology,DRDO Labs,Medium,MCQ,Which DRDO laboratory is primarily responsible for developing torpedoes and underwater weapons?,Vehicles Research and Development Establishment,Aeronautical Development Establishment,Naval Science and Technological Laboratory (NSTL),Solid State Physics Laboratory,C,"NSTL, based in Visakhapatnam, focuses on underwater weapon systems including torpedoes like Varunastra.",Different DRDO labs specialise in distinct technology domains across the services.,15,45,"{""DRDO & Defence Technology"",""DRDO Labs""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0363,DRDO & Defence Technology,DRDO Labs,Medium,MCQ,Which DRDO establishment is primarily responsible for developing military aircraft designs like Tejas?,Solid State Physics Laboratory,Naval Science and Technological Laboratory,Vehicles Research and Development Establishment,Aeronautical Development Agency (ADA),D,ADA coordinates the design and development of India's indigenous fighter aircraft programmes.,"It works closely with HAL, which handles manufacturing once designs are finalised.",15,45,"{""DRDO & Defence Technology"",""DRDO Labs""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0364,DRDO & Defence Technology,DRDO Labs,Medium,MCQ,Which DRDO establishment focuses on research related to armoured vehicles like the Arjun tank?,Combat Vehicles Research and Development Establishment (CVRDE),Naval Science and Technological Laboratory,Aeronautical Development Establishment,Terminal Ballistics Research Laboratory,A,"CVRDE, based in Chennai, has been central to developing India's indigenous tank and armoured vehicle programmes.",It has worked on successive generations of the Arjun tank and related technology.,15,45,"{""DRDO & Defence Technology"",""DRDO Labs""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0365,DRDO & Defence Technology,Space & Defence,Medium,MCQ,"GSAT satellites, some of which serve military communication needs, are launched by which Indian agency?",DRDO exclusively,ISRO,The Indian Air Force independently,A private company with no government involvement,B,"ISRO develops and launches communication satellites, some of which are used for secure defence communication.",Dedicated military satellites have also been launched to support specific armed forces communication needs.,15,45,"{""DRDO & Defence Technology"",""Space & Defence""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0366,DRDO & Defence Technology,History,Medium,MCQ,"The DRDO's precursor bodies were formed shortly after India's independence, primarily to address which need?",Running civilian scientific research unrelated to defence,Managing colonial-era pensions,Reducing dependence on imported defence technology,"Managing India's space programme, which was unrelated at the time",C,Early defence science efforts sought to build indigenous capability rather than relying entirely on foreign suppliers.,"This early focus eventually grew into the large, multi-laboratory DRDO structure that exists today.",15,45,"{""DRDO & Defence Technology"",""History""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0367,DRDO & Defence Technology,Weapons Testing,Medium,MCQ,"Interim Test Range and Integrated Test Range facilities, used for missile testing, are notably located in which state?",Uttar Pradesh,Rajasthan,Kerala,Odisha (Chandipur/Wheeler Island area),D,India's coastal missile testing ranges in Odisha allow for tracking missiles over the Bay of Bengal.,"Many of India's key missile tests, including Agni series launches, have taken place from this region.",15,45,"{""DRDO & Defence Technology"",""Weapons Testing""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0368,DRDO & Defence Technology,Aerospace,Medium,MCQ,"The National Aerospace Laboratories (NAL), distinct from DRDO, primarily focuses on which area?","Civil aeronautical research, though with some overlap with defence needs",Submarine reactor design,Small arms development,Naval shipbuilding,A,"NAL, under the Council of Scientific and Industrial Research, conducts aeronautical research with applications across both civil and defence aviation.",It has contributed to projects like the Saras light transport aircraft.,15,45,"{""DRDO & Defence Technology"",""Aerospace""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0369,DRDO & Defence Technology,Policy,Medium,MCQ,"Which body oversees the overall coordination of India's defence research, production, and procurement policy at the ministerial level?",Ministry of Home Affairs,Ministry of Defence (Department of Defence Production and Department of Defence R&D),Ministry of External Affairs,NITI Aayog exclusively,B,"The Ministry of Defence houses distinct departments handling production, research, and procurement functions.",This structure aims to balance operational needs from the services with long-term indigenous capability development.,15,45,"{""DRDO & Defence Technology"",""Policy""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0370,DRDO & Defence Technology,Innovation,Medium,MCQ,iDEX (Innovations for Defence Excellence) is a government initiative primarily aimed at supporting whom?,Retired military officers seeking pensions,Only large multinational defence contractors,Startups and MSMEs working on defence and aerospace innovation,Foreign governments seeking to sell equipment to India,C,iDEX provides funding and support to smaller Indian companies and innovators developing defence-relevant technology.,It reflects a broader push to diversify India's defence innovation ecosystem beyond traditional DRDO and PSU channels.,15,45,"{""DRDO & Defence Technology"",""Innovation""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0371,DRDO & Defence Technology,DRDO,Medium,MCQ,Which DRDO-developed system provides early warning against incoming artillery and rocket fire by tracking its trajectory?,Astra missile system,Akash missile system,BrahMos missile system,Weapon Locating Radar (like Swathi),D,"Weapon locating radars like Swathi can detect the origin of enemy artillery fire, enabling rapid counter-battery response.",This technology significantly enhances the effectiveness and survivability of artillery units.,15,45,"{""DRDO & Defence Technology"",""DRDO""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0372,DRDO & Defence Technology,DRDO,Medium,MCQ,"Which indigenous sonar system, developed by DRDO, is used aboard Indian Navy submarines and ships for underwater detection?",USHUS and related indigenous sonar systems,Akash,Astra,BrahMos,A,Indigenous sonar systems reduce dependence on imported underwater detection technology for the Navy's submarines and surface ships.,Continuous upgrades to these systems aim to keep pace with evolving underwater threats.,15,45,"{""DRDO & Defence Technology"",""DRDO""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0373,DRDO & Defence Technology,Space & Defence,Medium,MCQ,Which Indian initiative aims to develop a dedicated satellite-based surveillance network to monitor the Indian Ocean Region?,A programme focused solely on lunar exploration,A dedicated maritime domain awareness satellite constellation effort,A programme focused solely on Mars exploration,A purely commercial telecom satellite initiative with no defence role,B,Maritime domain awareness satellites help track shipping and potential threats across the vast Indian Ocean Region.,This capability supports both naval operations and broader regional security cooperation efforts.,15,45,"{""DRDO & Defence Technology"",""Space & Defence""}",NDA/CDS/AFCAT,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0374,International Relations & Exercises,Exercises,Easy,MCQ,"Malabar, a major multilateral naval exercise India participates in, originally began as a bilateral exercise with which country?",Australia,Japan,United States,Russia,C,Malabar started as a bilateral India-US naval exercise before later expanding to include Japan and Australia.,It is now considered one of the most significant naval exercises in the Indo-Pacific region.,10,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0375,International Relations & Exercises,Exercises,Medium,MCQ,Yudh Abhyas is a joint military exercise conducted annually between India and which country?,France,Russia,China,United States,D,Yudh Abhyas focuses on joint Army training and interoperability between Indian and US forces.,The exercise venue alternates between locations in India and the United States.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0376,International Relations & Exercises,Exercises,Medium,MCQ,"Indra, a joint military exercise involving multiple branches of the armed forces, is conducted between India and which country?",Russia,United States,Japan,France,A,"Exercise Indra covers joint Army, Navy, and Air Force components, reflecting the long-standing India-Russia defence relationship.",It is one of the few exercises India conducts with a foreign partner across all three services jointly.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0377,International Relations & Exercises,Exercises,Medium,MCQ,Garuda Shakti is a joint military exercise conducted between India and which South-East Asian country?,Vietnam,Indonesia,Thailand,Philippines,B,Garuda Shakti focuses on joint special forces and counter-terrorism training between the two nations.,India has expanded defence cooperation with several South-East Asian nations in recent years.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0378,International Relations & Exercises,Exercises,Medium,MCQ,Varuna is a bilateral naval exercise conducted between India and which country?,Australia,Japan,France,United Kingdom,C,"Exercise Varuna reflects the long-standing defence partnership between India and France, particularly in naval and submarine technology.",France has also been a key partner in India's Scorpene-class submarine programme.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0379,International Relations & Exercises,Exercises,Medium,MCQ,Konkan is a bilateral naval exercise conducted between India and which country?,Spain,Germany,Italy,United Kingdom,D,Exercise Konkan focuses on enhancing interoperability between the Indian and Royal Navies.,It reflects the historical defence ties between the two countries dating back to the colonial era.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0380,International Relations & Exercises,Exercises,Medium,MCQ,Vibrant/Cope India-style joint air exercises are conducted between the IAF and which country's air force?,United States,Russia,France,United Kingdom,A,"Exercises like Cope India involve joint training between the IAF and the US Air Force, improving interoperability.",Such exercises have grown in scale and complexity as India-US defence ties have deepened.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0381,International Relations & Exercises,Exercises,Medium,MCQ,"Surya Kiran, a joint military exercise, is conducted between India and which neighbouring country?",Bhutan,Nepal,Bangladesh,Sri Lanka,B,Exercise Surya Kiran focuses on joint counter-terrorism and disaster response training between the two armies.,Note this shares its name with the IAF's aerobatic team but refers to a distinct bilateral Army exercise.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0382,International Relations & Exercises,Exercises,Medium,MCQ,Mitra Shakti is a joint military exercise conducted between India and which country?,Bangladesh,Nepal,Sri Lanka,Maldives,C,Mitra Shakti focuses on joint counter-terrorism and counter-insurgency training between the Indian and Sri Lankan armies.,Such bilateral exercises help build closer defence ties within the South Asian region.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0383,International Relations & Exercises,Exercises,Medium,MCQ,Sampriti is a joint military exercise conducted between India and which neighbouring country?,Myanmar,Nepal,Bhutan,Bangladesh,D,Exercise Sampriti focuses on joint counter-terrorism training between the Indian and Bangladeshi armies.,"Sampriti' means 'friendship' in Bengali, reflecting the exercise's cooperative spirit.",15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0384,International Relations & Exercises,Alliances,Medium,MCQ,"The Quad, a strategic grouping India is part of, includes which other three countries?","United States, Japan, and Australia","Russia, China, and Brazil","United Kingdom, France, and Germany","Nepal, Bhutan, and Bangladesh",A,"The Quadrilateral Security Dialogue focuses on cooperation in the Indo-Pacific region, including maritime security.",It is not a formal military alliance but a strategic dialogue and cooperation framework.,15,45,"{""International Relations & Exercises"",""Alliances""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0385,International Relations & Exercises,Agreements,Medium,MCQ,"LEMOA, an agreement India signed with the United States, primarily facilitates what?",Nuclear weapons sharing,Reciprocal logistics support between the two militaries,Automatic mutual defence commitments,Joint currency arrangements for defence trade,B,The Logistics Exchange Memorandum of Agreement allows both countries' militaries to use each other's bases for supplies and repair.,It is one of several foundational agreements deepening India-US defence cooperation.,15,45,"{""International Relations & Exercises"",""Agreements""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0386,International Relations & Exercises,Agreements,Medium,MCQ,"COMCASA, another India-US foundational defence agreement, primarily facilitates what?",Sharing of nuclear submarine technology,Territorial defence guarantees,Secure communications compatibility between the two militaries' equipment,Free trade in agricultural goods,C,COMCASA enables the transfer of high-end communication security equipment for compatible use on shared platforms.,It complements other foundational agreements like LEMOA and BECA in deepening interoperability.,15,45,"{""International Relations & Exercises"",""Agreements""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0387,International Relations & Exercises,Agreements,Medium,MCQ,"BECA, the third of the major India-US foundational defence agreements, focuses on which area?",Educational exchange programmes for cadets,Nuclear energy cooperation,Currency exchange for defence purchases,Sharing of geospatial intelligence data,D,The Basic Exchange and Cooperation Agreement facilitates the sharing of geospatial maps and data for military purposes.,"Together, LEMOA, COMCASA, and BECA form the backbone of deepened India-US military-to-military cooperation.",15,45,"{""International Relations & Exercises"",""Agreements""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0388,International Relations & Exercises,Organisations,Medium,MCQ,"SCO, a regional organisation India is a member of alongside China, Russia, and Central Asian states, stands for?",Shanghai Cooperation Organisation,South China Ocean Alliance,South Central Organisation,Strategic Cooperation Order,A,"SCO addresses regional security, counter-terrorism, and economic cooperation among its member states.","India became a full member of the SCO in 2017, expanding its role in regional diplomacy.",15,45,"{""International Relations & Exercises"",""Organisations""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0389,International Relations & Exercises,Organisations,Medium,MCQ,India is a founding member of BRICS alongside which other countries (as originally constituted)?,Only Russia and China,"Brazil, Russia, China, and South Africa",Only Brazil and South Africa,"Bangladesh, Russia, Indonesia, China, and Sri Lanka",B,BRICS represents a grouping of major emerging economies that has expanded to include additional members in recent years.,It focuses on economic cooperation as well as broader strategic dialogue among members.,15,45,"{""International Relations & Exercises"",""Organisations""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0390,International Relations & Exercises,International Relations,Medium,MCQ,The 'Rafale deal' refers to India's agreement to purchase 36 fighter jets from which country?,United States,Russia,France,Sweden,C,"The government-to-government deal for 36 Rafale jets was signed in 2016, with deliveries completed in subsequent years.",The deal attracted significant political debate in India regarding pricing and offset arrangements.,15,45,"{""International Relations & Exercises"",""International Relations""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0391,International Relations & Exercises,International Relations,Medium,MCQ,India's 'Act East Policy' primarily aims to strengthen ties with which broad region?,Only Latin America,Only Western Europe,Only Sub-Saharan Africa,South-East Asia and the wider Asia-Pacific region,D,"This policy builds on the earlier 'Look East Policy', expanding economic and strategic engagement eastward.","Defence cooperation, including exercises and arms sales, forms an important component of this policy.",15,45,"{""International Relations & Exercises"",""International Relations""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0392,International Relations & Exercises,International Relations,Medium,MCQ,"AUKUS, a trilateral security partnership relevant to Indo-Pacific dynamics, involves which three countries?","Australia, United Kingdom, and United States","India, United Kingdom, and United States","Australia, India, and Japan","United States, Japan, and South Korea",A,"While India is not a member of AUKUS, the partnership is often discussed alongside the Quad in analyses of Indo-Pacific security architecture.",AUKUS notably includes provisions for Australia to acquire nuclear-powered submarine technology.,15,45,"{""International Relations & Exercises"",""International Relations""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0393,International Relations & Exercises,International Relations,Medium,MCQ,"The Non-Aligned Movement, which India helped found, primarily emerged during which historical period?",The Second World War,The Cold War era,The post-9/11 era,The colonial era prior to independence,B,"India, along with countries like Yugoslavia, Egypt, and Indonesia, was among the founding members of the Non-Aligned Movement.",The movement sought to avoid formal alignment with either the US-led or Soviet-led blocs during the Cold War.,15,45,"{""International Relations & Exercises"",""International Relations""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0394,International Relations & Exercises,Peacekeeping,Medium,MCQ,India has historically been one of the largest contributors of troops to which international body's peacekeeping missions?,The Commonwealth of Nations,NATO,The United Nations,SAARC,C,"Indian armed forces personnel have served in numerous UN peacekeeping missions across Africa, Asia, and elsewhere.",India's long history of UN peacekeeping contributions reflects its broader commitment to international stability efforts.,15,45,"{""International Relations & Exercises"",""Peacekeeping""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0395,International Relations & Exercises,Diplomacy,Medium,MCQ,The 'Two Plus Two' dialogue India holds with countries like the US and Japan typically involves which pair of ministries from each side?,Commerce and Agriculture Ministries,Finance and Home Ministries,Health and Education Ministries,Foreign and Defence Ministries,D,These dialogues bring together foreign and defence ministers to discuss strategic and security cooperation.,"India conducts such dialogues with several key strategic partners, reflecting deepening ties across both diplomatic and defence domains.",15,45,"{""International Relations & Exercises"",""Diplomacy""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0396,International Relations & Exercises,Arms Control,Medium,MCQ,"The Missile Technology Control Regime (MTCR), which India joined in 2016, primarily aims to do what?",Limit the proliferation of missile and related technology,Ban all military aircraft production,Regulate international arms sales prices,Standardise global small arms ammunition,A,MTCR membership reflects international recognition of India's responsible missile technology practices.,Membership also facilitates certain technology transfers with fellow member states.,15,45,"{""International Relations & Exercises"",""Arms Control""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0397,International Relations & Exercises,Arms Control,Medium,MCQ,"The Nuclear Suppliers Group (NSG), which India has sought membership in, primarily regulates what?",Conventional arms trade,International trade in nuclear materials and technology,Cyber warfare norms,Space debris management,B,NSG membership would further ease India's access to nuclear technology and materials for civilian and strategic purposes.,India's application for full membership has faced procedural challenges related to its non-signatory status on the NPT.,15,45,"{""International Relations & Exercises"",""Arms Control""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
DEF-0398,International Relations & Exercises,Exercises,Medium,MCQ,"Prabal Dostyk, a joint exercise focused on counter-terrorism and high-altitude operations, is conducted between India and which Central Asian country?",Kyrgyzstan,Uzbekistan,Kazakhstan,Tajikistan,C,This exercise reflects growing defence engagement between India and Central Asian nations.,Such partnerships also support broader regional connectivity and counter-terrorism cooperation goals.,15,45,"{""International Relations & Exercises"",""Exercises""}",CDS/AFCAT/SSB,AI-generated for Forge platform,,,,,,,,,,,,
