id,source_file,category,subcategory,question_type,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation
OBJ-088,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Easy,Which is the primary air superiority fighter of the Indian Air Force?,SEPECAT Jaguar.,HAL Tejas.,Dassault Mirage 2000.,Sukhoi Su-30MKI.,D,
OBJ-089,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the Dassault Mirage 2000 known as in the IAF?,Vajra.,Garuda.,Bahadur.,Shamsher.,A,
OBJ-090,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the SEPECAT Jaguar known as in the IAF?,Vajra.,Shamsher.,Garuda.,Bahadur.,B,
OBJ-091,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the BAE Hawk Mk 132 used for?,It serves as India's primary air superiority fighter.,It serves as a heavy-lift transport aircraft.,It serves as an advanced jet trainer in the Indian Air Force.,It serves as an airborne early warning platform.,C,
OBJ-092,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the Ilyushin Il-76?,An aerial refuelling tanker aircraft.,A dedicated maritime patrol aircraft.,A medium-range tactical transport aircraft.,A heavy military transport aircraft used by the Indian Air Force.,D,
OBJ-093,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,Name a heavy-lift helicopter operated by the Indian Air Force.,The Mil Mi-26.,The Mil Mi-17.,The HAL Dhruv.,The Mil Mi-35.,A,
OBJ-094,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,Name an attack helicopter operated by the Indian Air Force.,The Mil Mi-26.,The Mil Mi-35.,The HAL Chetak.,The Boeing Chinook.,B,
OBJ-095,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,Name two Unmanned Aerial Vehicles (UAVs) used by the IAF for reconnaissance.,IAI Harop and Harpy.,DRDO Rustom and Nishant.,IAI Searcher II and IAI Heron.,Predator and Global Hawk.,C,
OBJ-096,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the IAI Harpy used for by the Indian Air Force?,It is a trainer UAV used to train operators.,It is a reconnaissance UAV used for battlefield surveillance.,It is a heavy-lift transport UAV.,It is an Unmanned Combat Aerial Vehicle designed to attack radar systems.,D,
OBJ-097,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the DRDO Lakshya?,A pilotless target aircraft used as a towed aerial sub-target for live fire training.,An armed combat UAV used for precision strikes.,A long-endurance surveillance drone.,A heavy-lift cargo UAV.,A,
OBJ-098,Forge_Objective_Content_Cleaned.csv,Defence Awareness,,MCQ,Easy,Name the aircraft carrier currently active in the Indian Navy.,INS Viraat and INS Vikrant.,INS Vikramaditya and INS Vikrant,INS Vikrant and INS Chakra.,INS Vikramaditya and INS Viraat.,B,
OBJ-099,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Medium,From which country did India purchase the INS Vikramaditya?,United Kingdom.,France.,Russia.,United States.,C,
OBJ-100,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is INS Chakra?,A conventional submarine built with German collaboration.,An indigenously built ballistic missile submarine.,A diesel-electric submarine purchased from France.,A nuclear-powered attack submarine leased from Russia.,D,
OBJ-101,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is INS Arihant?,An indigenously built nuclear-powered ballistic missile submarine.,A nuclear-powered attack submarine leased from Russia.,A diesel-electric submarine built with French collaboration.,A conventional submarine of Soviet origin.,A,
OBJ-102,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is MARCOS?,The Marine Commando Force of the Indian Navy.,"The Marine Commando Force, a special operations unit of the Indian Navy.",The Special Frontier Force under the Cabinet Secretariat.,The Parachute Regiment's special forces wing.,B,
OBJ-103,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Garud Commando Force?,The special operations unit of the Indian Navy.,The special operations unit of the Indian Army.,The special operations unit of the Indian Air Force.,The special operations wing of the Border Security Force.,C,
OBJ-104,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the Sagarika missile?,A supersonic anti-ship cruise missile.,A land-based intercontinental ballistic missile.,A short-range surface-to-air missile.,An oceanic submarine-launched ballistic missile (SLBM).,D,
OBJ-105,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the Klub SS-N-27?,A foreign-made cruise missile system used by the Indian Navy.,A Russian-origin cruise missile system used by the Indian Navy.,An indigenously developed anti-ship missile.,A French-origin torpedo system.,A,
OBJ-106,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is the Nirbhay?,An indigenously developed subsonic cruise missile.,An indigenously developed sub-sonic cruise missile system of India.,A supersonic cruise missile jointly developed with Russia.,A submarine-launched ballistic missile.,B,
OBJ-107,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What is Sangraha in the context of the Indian Navy?,A satellite communication network for the Indian Navy.,A joint electronic warfare programme of DRDO and the Indian Navy.,A joint electronic warfare programme of the DRDO and the Indian Navy.,A coastal radar surveillance chain.,C,
OBJ-108,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,What does NEWN stand for in the Indian Navy?,Network for Early Warning and Navigation.,National Emergency Warning Network.,Naval Electronic Warfare Node.,Navy Enterprise Wide Network.,D,
OBJ-109,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Hard,Where is the Naval Institute of Computer Applications located?,Mumbai.,Kochi.,Visakhapatnam.,Kolkata.,A,
OBJ-110,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Hard,What is COMCASA?,A pact enabling secure communications compatibility between India and the US.,A communications compatibility pact between India and the US for secure military hardware.,A logistics-sharing agreement between India and the US.,A civil nuclear cooperation agreement between India and the US.,B,
OBJ-111,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Hard,What is LEMOA?,The communications security pact between India and the US.,The Logistics Exchange Memorandum of Agreement between India and the US.,The Logistics Exchange Memorandum of Agreement signed between India and the US in 2016.,The foundational defence framework agreement between India and the US.,C,
OBJ-112,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Hard,What is the 123 Agreement?,The Communications Compatibility and Security Agreement.,The US-India Civil Nuclear Agreement.,The Logistics Exchange Memorandum of Agreement.,The US-India Civil Nuclear Agreement signed to facilitate civilian nuclear trade.,D,
OBJ-113,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Medium,What is the NSG?,"The Nuclear Suppliers Group, a multinational export-control cartel for nuclear technologies.",The Nuclear Suppliers Group.,The International Atomic Energy Agency.,The Missile Technology Control Regime.,A,
OBJ-114,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Medium,What is the IAEA?,The International Atomic Energy Agency.,"The International Atomic Energy Agency, which assists member states with safe nuclear technologies.",The Nuclear Suppliers Group.,The Comprehensive Test Ban Treaty Organization.,B,
OBJ-115,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Easy,What was the Rafale Deal?,An agreement to purchase Su-30MKI fighters from Russia.,An agreement to purchase 36 Dassault Rafale fighter aircraft from France.,An agreement between India and France for the purchase of 36 Dassault Rafale fighter aircraft.,An agreement to jointly develop a fighter jet with the US.,C,
OBJ-116,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Easy,Who is known as the Missile Man of India?,Dr. Raja Ramanna.,Dr. Vikram Sarabhai.,Dr. Homi Bhabha.,Dr. APJ Abdul Kalam.,D,
OBJ-117,Forge_Objective_Content_Cleaned.csv,Indian Armed Forces,,MCQ,Medium,What is the Territorial Army?,A reserve force of volunteers who receive brief military training for emergency mobilization.,A reserve force of volunteers for emergency mobilisation.,The regular standing infantry reserve of the Indian Army.,A paramilitary force under the Ministry of Home Affairs.,A,
OBJ-118,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Easy,What is DRDO?,Defence Research and Development Organisation.,"Defence Research and Development Organisation, responsible for developing military technology in India.",Directorate of Research and Defence Operations.,Defence Research and Deployment Organisation.,B,
OBJ-119,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Easy,What is the motto of the National Cadet Corps (NCC)?,"Nation First, Always First.",Service before self.,Unity and Discipline.,Shatrujeet.,C,
OBJ-120,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,When is NCC Day celebrated?,26th January.,The fourth Sunday of November.,The first Sunday of December.,The fourth Sunday of November every year.,D,
OBJ-121,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Easy,What is Aadhaar?,A 12-digit unique identity number issued to Indian residents by UIDAI.,A 12-digit unique identity number issued by UIDAI.,A 10-digit tax identification number issued by the Income Tax Department.,A biometric ration card number issued by state governments.,A,
OBJ-122,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,When was the Unique Identification Authority of India (UIDAI) established?,August 2015.,January 2009.,March 2011.,November 2006.,B,
OBJ-123,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,What is the primary objective of Swachh Bharat Abhiyan?,To provide clean drinking water to rural households.,To clean India's infrastructure and eradicate open defecation.,To clean India's infrastructure and completely eradicate open defecation.,To promote renewable energy adoption nationwide.,C,
OBJ-124,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,What is the NRC?,National Registry of Compliance.,National Register of Citizens.,National Resident Card.,"National Register of Citizens, maintained to identify illegal immigrants in India.",D,
OBJ-125,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,What is the UDAN scheme?,A Regional Connectivity Scheme aimed at making air travel affordable for common citizens.,A Regional Connectivity Scheme for affordable air travel.,A scheme to modernise national highways.,A rural electrification scheme.,A,
OBJ-126,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Easy,What does the acronym UDAN stand for?,Udaan Bharat Abhiyan.,Ude Desh ka Aam Naagrik.,Unnat Disha Aam Naagrik.,Uday Desh Aam Nirman.,B,
OBJ-127,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,What is Mission Indradhanush?,A nutrition scheme targeting maternal health.,A health initiative to boost routine immunisation coverage.,A health initiative to step up routine immunisation for vaccine-preventable diseases in children.,A sanitation drive to reduce waterborne diseases.,C,
OBJ-128,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,What is the Goods and Services Tax Network (GSTN)?,A tribunal for resolving GST disputes.,A non-profit body that built the IT backbone for GST.,A regulatory authority overseeing GST rates.,A non-profit organisation formed to create the IT network for GST.,D,
OBJ-129,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Hard,Which company developed the software for the Goods and Services Tax Network (GSTN)?,Infosys Technologies.,Tata Consultancy Services.,Wipro Technologies.,HCL Technologies.,A,
OBJ-130,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,What is the objective of the Pravasi Kaushal Vikas Yojana?,To provide skill training to Indian youth for overseas employment.,To provide skill training to Indian youth seeking overseas employment.,To provide pensions to retired overseas Indian workers.,To regulate recruitment agencies for foreign jobs.,B,
OBJ-131,Forge_Objective_Content_Cleaned.csv,Indian Constitution,,MCQ,Hard,On what date did the Supreme Court of India declare the practice of instant triple talaq unconstitutional?,24 August 2017.,6 September 2018.,22 August 2017.,9 November 2019.,C,
OBJ-132,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Hard,What does BMMA stand for?,Bharatiya Mahila Adhikar Andolan.,Bharatiya Mahila Mukti Andolan.,Bharatiya Muslim Manavata Andolan.,Bharatiya Muslim Mahila Andolan.,D,
OBJ-133,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Medium,Which emerging economies largely lead the G20 block?,"India, China, and Brazil.","India, Japan, and Brazil.","China, Russia, and South Africa.","India, Russia, and Japan.",A,
OBJ-134,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Hard,Name four member countries of the Shanghai Cooperation Organisation (SCO).,"China, Pakistan, Russia, and Iran.","China, Russia, Kazakhstan, and Uzbekistan.","Russia, Kazakhstan, Turkey, and Iran.","India, China, Russia, and Pakistan.",B,
OBJ-135,Forge_Objective_Content_Cleaned.csv,International Relations,,MCQ,Hard,What does ITER stand for?,Indian Thermal Energy Research Reactor.,International Treaty on Emission Reduction.,International Thermonuclear Experimental Reactor.,International Test and Evaluation Range.,C,
OBJ-136,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is the difference between a gun and a rifle?,"A gun always has a smoothbore barrel, unlike a rifle.",A gun and a rifle are identical terms for the same weapon.,A rifle is any firearm larger than a pistol.,A gun is a general term for projectile weapons; a rifle has spiral grooves inside its barrel.,D,
OBJ-137,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Hard,Which country originally developed the Kriss Vector submachine gun?,Switzerland.,United States.,Israel.,Germany.,A,
OBJ-138,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Easy,How many engines does the Dassault Rafale fighter have?,One engine.,Two engines.,Three engines.,Four engines.,B,
OBJ-139,Forge_Objective_Content_Cleaned.csv,General Awareness,,MCQ,Medium,What is the principle of buoyancy?,The downward force exerted by gravity on a floating object.,The upward force exerted by a fluid opposing the weight of an immersed object.,The upward force exerted by a fluid that opposes the weight of an immersed object.,The frictional force resisting motion through a fluid.,C,
OBJ-140,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is a frigate?,A slow supply vessel used for logistics support.,A fast warship for protecting other vessels from submarines and aircraft.,A heavily armoured warship built for coastal bombardment.,"A fast, maneuverable naval warship used to protect other vessels from submarines and aircraft.",D,
OBJ-141,Forge_Objective_Content_Cleaned.csv,Defence Technology,,MCQ,Medium,What is a corvette?,"A small, highly maneuverable, and lightly armed warship, typically smaller than a frigate.","A small, lightly armed warship smaller than a frigate.",A large capital warship bigger than a destroyer.,An unarmed naval support vessel.,A,
OBJ-142,Forge_Objective_Content_Cleaned.csv,Indian Constitution,,MCQ,Easy,What does the Right to Education Act ensure?,It makes education a fundamental right for children.,It makes education a fundamental right for children in India.,It mandates free higher education for all citizens.,It establishes a national curriculum board.,B,
OBJ-143,Forge_Objective_Content_Cleaned.csv,Military Awareness,,MCQ,Medium,What was the primary cause of the 1999 Kargil conflict?,A border skirmish over river-water sharing.,Infiltration by Pakistani soldiers and militants across the LoC.,Infiltration by Pakistani soldiers and militants into the Indian side of the Line of Control.,A coup attempt by Pakistani military commanders.,C,
SD001,Forge_Master_Content.csv,Self Opinion,Self Description,Self Description,Medium,What do you think of yourself?,,,,,,
SD002,Forge_Master_Content.csv,Parents Opinion,Self Description,Self Description,Medium,What do your parents think of you?,,,,,,
SD003,Forge_Master_Content.csv,Friends Opinion,Self Description,Self Description,Medium,What do your friends think of you?,,,,,,
SD004,Forge_Master_Content.csv,Teachers Opinion,Self Description,Self Description,Medium,What do your teachers or employer think of you?,,,,,,
SD005,Forge_Master_Content.csv,Life Goals,Self Description,Self Description,Medium,What kind of person do you want to become in life?,,,,,,
SD006,Forge_Master_Content.csv,Life Goals,Self Description,Self Description,Medium,What qualities would you like to improve in yourself?,,,,,,
SD007,Forge_Master_Content.csv,Friends Opinion,Self Description,Self Description,Medium,What is one quality your best friends would like you to change?,,,,,,
SD008,Forge_Master_Content.csv,Parents Opinion,Self Description,Self Description,Medium,What two things does your mother advise you to improve?,,,,,,
SD009,Forge_Master_Content.csv,Friends Opinion,Self Description,Self Description,Medium,What suggestions do your close friends give you for self-improvement?,,,,,,
SD010,Forge_Master_Content.csv,Parents Opinion,Self Description,Self Description,Medium,"If your family could change one quality in you, what would it be?",,,,,,
LECT0001,Forge_Master_Content.csv,Oil,Lecturette,Lecturette,High,Global Oil Crisis,,,,,,
LECT0002,Forge_Master_Content.csv,Power,Lecturette,Lecturette,High,Nuclear Energy / Nuclear power,,,,,,
LECT0003,Forge_Master_Content.csv,Pakistan,Lecturette,Lecturette,High,Indo-Pak Peace Process,,,,,,
LECT0004,Forge_Master_Content.csv,USA,Lecturette,Lecturette,High,Indo-US Relations / India's relationship :future,,,,,,
LECT0005,Forge_Master_Content.csv,WMD,Lecturette,Lecturette,High,Weapons of Mass Destruction,,,,,,
LECT0006,Forge_Master_Content.csv,Economy,Lecturette,Lecturette,High,Indian Economy,,,,,,
LECT0007,Forge_Master_Content.csv,Nuclear,Lecturette,Lecturette,High,Indo-US Nuclear Deal,,,,,,
LECT0008,Forge_Master_Content.csv,Pakistan,Lecturette,Lecturette,High,Indo-Pak Relations,,,,,,
LECT0009,Forge_Master_Content.csv,War,Lecturette,Lecturette,High,Wars with Pakistan,,,,,,
LECT0010,Forge_Master_Content.csv,Energy,Lecturette,Lecturette,High,Energy Crisis,,,,,,
LECT0011,Forge_Master_Content.csv,Budget,Lecturette,Lecturette,High,Defence Budget,,,,,,
LECT0012,Forge_Master_Content.csv,Development,Lecturette,Lecturette,High,India as a Superpower,,,,,,
LECT0013,Forge_Master_Content.csv,USA,Lecturette,Lecturette,High,COMCASA,,,,,,
LECT0014,Forge_Master_Content.csv,China,Lecturette,Lecturette,High,String of Pearls,,,,,,
LECT0015,Forge_Master_Content.csv,IOR,Lecturette,Lecturette,High,Indian Ocean Region,,,,,,
LECT0016,Forge_Master_Content.csv,UNSC,Lecturette,Lecturette,High,UN Security Council,,,,,,
LECT0017,Forge_Master_Content.csv,Cybersecurity,Lecturette,Lecturette,High,Ethical Hacking,,,,,,
LECT0018,Forge_Master_Content.csv,Law,Lecturette,Lecturette,High,Food Security Bill,,,,,,
LECT0019,Forge_Master_Content.csv,China,Lecturette,Lecturette,High,Indo-China Relations,,,,,,
LECT0020,Forge_Master_Content.csv,Cleanliness,Lecturette,Lecturette,High,Swachh Bharat Abhiyan,,,,,,
LECT0021,Forge_Master_Content.csv,Digital,Lecturette,Lecturette,High,Digital India Mission,,,,,,
LECT0022,Forge_Master_Content.csv,Economy,Lecturette,Lecturette,High,Demonetisation,,,,,,
LECT0023,Forge_Master_Content.csv,Urbanization,Lecturette,Lecturette,High,Smart City Project,,,,,,
LECT0024,Forge_Master_Content.csv,Transport,Lecturette,Lecturette,High,Bullet Train,,,,,,
LECT0025,Forge_Master_Content.csv,Citizenship,Lecturette,Lecturette,High,NRC,,,,,,
LECT0026,Forge_Master_Content.csv,Borders,Lecturette,Lecturette,High,India's neighbors,,,,,,
LECT0027,Forge_Master_Content.csv,Security,Lecturette,Lecturette,High,Terrorism a global threat / Terrorism,,,,,,
LECT0028,Forge_Master_Content.csv,Law,Lecturette,Lecturette,High,Judicial reforms,,,,,,
LECT0029,Forge_Master_Content.csv,Law,Lecturette,Lecturette,High,Police reforms,,,,,,
LECT0030,Forge_Master_Content.csv,Economy,Lecturette,Lecturette,High,Globalization,,,,,,
LECT0031,Forge_Master_Content.csv,Borders,Lecturette,Lecturette,High,Kashmir problem,,,,,,
LECT0032,Forge_Master_Content.csv,Nuclear,Lecturette,Lecturette,High,CTBT and India,,,,,,
LECT0033,Forge_Master_Content.csv,Law,Lecturette,Lecturette,High,Uniform civil code,,,,,,
LECT0034,Forge_Master_Content.csv,Science,Lecturette,Lecturette,High,Cloning,,,,,,
LECT0035,Forge_Master_Content.csv,Water,Lecturette,Lecturette,High,River water disputes,,,,,,
LECT0036,Forge_Master_Content.csv,Economy,Lecturette,Lecturette,High,Inflation,,,,,,
LECT0037,Forge_Master_Content.csv,Economy,Lecturette,Lecturette,High,FDI,,,,,,
LECT0038,Forge_Master_Content.csv,Politics,Lecturette,Lecturette,High,Do we need more states?,,,,,,
LECT0039,Forge_Master_Content.csv,Military,Lecturette,Lecturette,High,AFSPA,,,,,,
LECT0040,Forge_Master_Content.csv,Kashmir,Lecturette,Lecturette,High,Article 370,,,,,,
LECT0041,Forge_Master_Content.csv,Security,Lecturette,Lecturette,High,Naxalism problem,,,,,,
LECT0042,Forge_Master_Content.csv,South Asia,Lecturette,Lecturette,High,SAARC,,,,,,
LECT0043,Forge_Master_Content.csv,Religion,Lecturette,Lecturette,Medium,Indian Religion,,,,,,
LECT0044,Forge_Master_Content.csv,Culture,Lecturette,Lecturette,Medium,Indian Culture,,,,,,
LECT0045,Forge_Master_Content.csv,Women,Lecturette,Lecturette,Medium,Women in Society / Status of women in India,,,,,,
LECT0046,Forge_Master_Content.csv,Village,Lecturette,Lecturette,Medium,Rural Society,,,,,,
LECT0047,Forge_Master_Content.csv,Health,Lecturette,Lecturette,Medium,Smoking by Women,,,,,,
LECT0048,Forge_Master_Content.csv,Peace,Lecturette,Lecturette,Medium,Communal Harmony,,,,,,
LECT0049,Forge_Master_Content.csv,Politics,Lecturette,Lecturette,Medium,Democracy,,,,,,
LECT0050,Forge_Master_Content.csv,Media,Lecturette,Lecturette,Medium,Importance of TV / Role of media,,,,,,
LECT0051,Forge_Master_Content.csv,Farming,Lecturette,Lecturette,Medium,Agriculture in India,,,,,,
LECT0052,Forge_Master_Content.csv,Population,Lecturette,Lecturette,Medium,Family Planning / Population explosion,,,,,,
LECT0053,Forge_Master_Content.csv,Environment,Lecturette,Lecturette,Medium,Global Warming,,,,,,
LECT0054,Forge_Master_Content.csv,Education,Lecturette,Lecturette,Medium,Sex Education,,,,,,
LECT0055,Forge_Master_Content.csv,Internet,Lecturette,Lecturette,Medium,Social Networking Sites,,,,,,
LECT0056,Forge_Master_Content.csv,Fashion,Lecturette,Lecturette,Medium,Indian Fashion Industry,,,,,,
LECT0057,Forge_Master_Content.csv,Finance,Lecturette,Lecturette,Medium,E-banking,,,,,,
LECT0058,Forge_Master_Content.csv,Education,Lecturette,Lecturette,Medium,Brain Drain,,,,,,
LECT0059,Forge_Master_Content.csv,Wildlife,Lecturette,Lecturette,Medium,Declining Tiger Population in India,,,,,,
LECT0060,Forge_Master_Content.csv,Women,Lecturette,Lecturette,Medium,Women in Corporate India,,,,,,
LECT0061,Forge_Master_Content.csv,Women,Lecturette,Lecturette,Medium,Women in Armed Forces,,,,,,
LECT0062,Forge_Master_Content.csv,Society,Lecturette,Lecturette,Medium,Social Issues of India,,,,,,
LECT0063,Forge_Master_Content.csv,Crime,Lecturette,Lecturette,Medium,Crime Against Women,,,,,,
LECT0064,Forge_Master_Content.csv,Economy,Lecturette,Lecturette,Medium,Unemployment / Unemployment in India,,,,,,
LECT0065,Forge_Master_Content.csv,Health,Lecturette,Lecturette,Medium,Primary Healthcare in India,,,,,,
LECT0066,Forge_Master_Content.csv,Movies,Lecturette,Lecturette,Medium,Cinema Today,,,,,,
LECT0067,Forge_Master_Content.csv,Bollywood,Lecturette,Lecturette,Medium,Indian Film Industry,,,,,,
LECT0068,Forge_Master_Content.csv,TV,Lecturette,Lecturette,Medium,Reality Shows,,,,,,
LECT0069,Forge_Master_Content.csv,Education,Lecturette,Lecturette,Medium,Privatisation of Education,,,,,,
LECT0070,Forge_Master_Content.csv,Education,Lecturette,Lecturette,Medium,Literacy Rate in India,,,,,,
LECT0071,Forge_Master_Content.csv,Health,Lecturette,Lecturette,Medium,Child Mortality,,,,,,
LECT0072,Forge_Master_Content.csv,Women,Lecturette,Lecturette,Medium,Declining Sex Ratio,,,,,,
LECT0073,Forge_Master_Content.csv,Health,Lecturette,Lecturette,Medium,Drug Abuse,,,,,,
LECT0074,Forge_Master_Content.csv,Politics,Lecturette,Lecturette,Medium,Religion in Politics,,,,,,
LECT0075,Forge_Master_Content.csv,Crime,Lecturette,Lecturette,Medium,Criminalisation of Politics,,,,,,
LECT0076,Forge_Master_Content.csv,Women,Lecturette,Lecturette,Medium,Women Empowerment,,,,,,
LECT0077,Forge_Master_Content.csv,Journalism,Lecturette,Lecturette,Medium,Indian Media,,,,,,
LECT0078,Forge_Master_Content.csv,ISRO,Lecturette,Lecturette,Medium,Indian Space Programme / Space research in India,,,,,,
LECT0079,Forge_Master_Content.csv,Defense,Lecturette,Lecturette,Medium,Indian Missile Programme / Missile development in India,,,,,,
LECT0080,Forge_Master_Content.csv,Corruption,Lecturette,Lecturette,Medium,Corruption in modern India,,,,,,
LECT0081,Forge_Master_Content.csv,Environment,Lecturette,Lecturette,Medium,Pollution,,,,,,
LECT0082,Forge_Master_Content.csv,Water,Lecturette,Lecturette,Medium,Water shortage,,,,,,
LECT0083,Forge_Master_Content.csv,Energy,Lecturette,Lecturette,Medium,Non-conventional energy,,,,,,
LECT0084,Forge_Master_Content.csv,Safety,Lecturette,Lecturette,Medium,Disaster management,,,,,,
LECT0085,Forge_Master_Content.csv,Women,Lecturette,Lecturette,Medium,Female infanticide,,,,,,
LECT0086,Forge_Master_Content.csv,Education,Lecturette,Lecturette,Medium,Educating a girl child,,,,,,
LECT0087,Forge_Master_Content.csv,Health,Lecturette,Lecturette,Medium,AIDS,,,,,,
LECT0088,Forge_Master_Content.csv,Children,Lecturette,Lecturette,Medium,Child labor,,,,,,
LECT0089,Forge_Master_Content.csv,Economy,Lecturette,Lecturette,Medium,Poverty,,,,,,
LECT0090,Forge_Master_Content.csv,Politics,Lecturette,Lecturette,Medium,Reservation / Reservation for women,,,,,,
LECT0091,Forge_Master_Content.csv,Education,Lecturette,Lecturette,Medium,Ragging,,,,,,
LECT0092,Forge_Master_Content.csv,Family,Lecturette,Lecturette,Medium,Single parenting in India,,,,,,
LECT0093,Forge_Master_Content.csv,Health,Lecturette,Lecturette,Medium,Medical tourism,,,,,,
LECT0094,Forge_Master_Content.csv,Economy,Lecturette,Lecturette,Medium,Tourism in India,,,,,,
LECT0095,Forge_Master_Content.csv,Media,Lecturette,Lecturette,Medium,Freedom of press,,,,,,
LECT0096,Forge_Master_Content.csv,Politics,Lecturette,Lecturette,Medium,Role of opposition in democracy,,,,,,
LECT0097,Forge_Master_Content.csv,Law,Lecturette,Lecturette,Medium,Human rights,,,,,,
LECT0098,Forge_Master_Content.csv,LGBTQ,Lecturette,Lecturette,Medium,Gay rights,,,,,,
LECT0099,Forge_Master_Content.csv,Politics,Lecturette,Lecturette,Medium,Banana government,,,,,,
LECT0100,Forge_Master_Content.csv,Defense,Lecturette,Lecturette,Medium,Compulsory military training,,,,,,
LECT0101,Forge_Master_Content.csv,Sports,Lecturette,Lecturette,Medium,Use of drugs in sports,,,,,,
LECT0102,Forge_Master_Content.csv,Law,Lecturette,Lecturette,Medium,RTI,,,,,,
LECT0103,Forge_Master_Content.csv,Education,Lecturette,Lecturette,Medium,RTE,,,,,,
LECT0104,Forge_Master_Content.csv,Education,Lecturette,Lecturette,Low,My School,,,,,,
LECT0105,Forge_Master_Content.csv,Relationships,Lecturette,Lecturette,Low,Friends,,,,,,
LECT0106,Forge_Master_Content.csv,Family,Lecturette,Lecturette,Low,Best Child,,,,,,
LECT0107,Forge_Master_Content.csv,Memories,Lecturette,Lecturette,Low,Childhood Days,,,,,,
LECT0108,Forge_Master_Content.csv,Internet,Lecturette,Lecturette,Low,E-mail,,,,,,
LECT0109,Forge_Master_Content.csv,Entertainment,Lecturette,Lecturette,Low,Cinema,,,,,,
LECT0110,Forge_Master_Content.csv,Tech,Lecturette,Lecturette,Low,Mobile Phone,,,,,,
LECT0111,Forge_Master_Content.csv,Gaming,Lecturette,Lecturette,Low,Computer Games,,,,,,
LECT0112,Forge_Master_Content.csv,Sports,Lecturette,Lecturette,Low,Cricket in India,,,,,,
LECT0113,Forge_Master_Content.csv,Health,Lecturette,Lecturette,Low,Yoga,,,,,,
LECT0114,Forge_Master_Content.csv,Role Model,Lecturette,Lecturette,Low,My Idol / My role model,,,,,,
LECT0115,Forge_Master_Content.csv,Inspiration,Lecturette,Lecturette,Low,Personality I Like the Most,,,,,,
LECT0116,Forge_Master_Content.csv,Family,Lecturette,Lecturette,Low,Role of Parents,,,,,,
LECT0117,Forge_Master_Content.csv,Family,Lecturette,Lecturette,Low,Joint Family System,,,,,,
