id,category,subcategory,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,fun_fact,xp_reward,time_limit,tags,exam_relevance,source
DEF-0116,Indian Army,Corps,Medium,MCQ,Which corps manages the Army's communication networks and signal intelligence?,Corps of Signals,Army Ordnance Corps,Army Service Corps,Army Medical Corps,A,The Corps of Signals ensures secure and reliable communication across all levels of the Army's command structure.,Modern signal units increasingly handle cyber and electronic warfare responsibilities as well.,15,45,"{""Indian Army"",""Corps""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0117,Indian Army,Corps,Medium,MCQ,"Which corps is responsible for the supply and maintenance of the Army's weapons, ammunition, and equipment?",Army Service Corps,Army Ordnance Corps,Corps of Engineers,Army Medical Corps,B,"The Army Ordnance Corps manages the procurement, storage, and distribution of weapons and ammunition.",It plays a critical role in ensuring frontline units are never short of essential war material.,15,45,"{""Indian Army"",""Corps""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0118,Indian Army,Special Forces,Medium,MCQ,Which elite Indian Army unit is trained for high-altitude and ghatak (commando) operations within infantry battalions?,MARCOS,Garud Commando Force,Ghatak Platoons,NSG,C,Every infantry battalion maintains a specially trained Ghatak Platoon for high-risk special tasks.,These platoons undergo additional specialised training beyond standard infantry training.,15,45,"{""Indian Army"",""Special Forces""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0119,Indian Army,Structure,Hard,MCQ,"The Army Training Command (ARTRAC), a unique command, is primarily responsible for what function?",Coastal defence,Field combat operations only,Logistics for the Eastern theatre,"Doctrine, training, and force development",D,"ARTRAC, headquartered in Shimla, oversees training policy and doctrine development across the Army rather than commanding field forces directly.",It is sometimes considered the 'nerve centre' for the Army's intellectual and doctrinal development.,20,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0120,Indian Army,Territorial Army,Medium,MCQ,The Indian Territorial Army primarily consists of what kind of personnel?,Volunteer citizen-soldiers who serve part-time,Full-time regular soldiers only,Foreign mercenary units,Retired regular soldiers only,A,"The Territorial Army allows civilians to serve as part-time soldiers, providing a reserve force that can be mobilised when needed.",Members balance their civilian careers with periodic military training and potential mobilisation.,15,45,"{""Indian Army"",""Territorial Army""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0121,Indian Army,History,Medium,MCQ,The Indian Army traces significant institutional roots to which colonial-era force?,The Mughal Imperial Army,The British Indian Army,The Maratha Confederacy's forces,"The East India Company's private militia only, with no continuity",B,"Post-independence, the Indian Army inherited much of the organisational structure, regiments, and traditions of the British Indian Army.",Many regiments retained their pre-independence names and battle honours after 1947.,15,45,"{""Indian Army"",""History""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0122,Indian Army,History,Medium,MCQ,Field Marshal K.M. Cariappa holds which historic distinction in the Indian Army?,First Param Vir Chakra recipient,First Chief of Defence Staff,First Indian Commander-in-Chief of the Indian Army,First woman General,C,"Cariappa became the first Indian to head the Army in 1949, replacing the last British Commander-in-Chief.","15 January, the day he took over, is celebrated annually as Army Day.",15,45,"{""Indian Army"",""History""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0123,Indian Army,History,Easy,MCQ,Indian Army Day is celebrated on which date each year?,26 July,26 January,16 December,15 January,D,Army Day commemorates the day Field Marshal K.M. Cariappa became the first Indian Commander-in-Chief in 1949.,Major parades and ceremonies are held at army headquarters and cantonments across the country on this day.,10,45,"{""Indian Army"",""History""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0124,Indian Army,Structure,Medium,MCQ,Which corps of the Indian Army specialises in armoured warfare using tanks?,Armoured Corps,Mechanised Infantry,Army Air Defence,Corps of Engineers,A,"The Armoured Corps operates the Army's tank regiments, forming the backbone of India's mechanised strike forces.","Armoured regiments often carry historic cavalry lineages, having transitioned from horse-mounted units.",15,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0125,Indian Army,Structure,Medium,MCQ,Which branch of the Indian Army is responsible for protecting ground forces and key installations from aerial attack?,Armoured Corps,Army Air Defence,Corps of Signals,Army Service Corps,B,Army Air Defence operates surface-to-air missile systems and anti-aircraft guns to protect the Army's field forces.,This branch works closely with the Air Force to coordinate airspace defence during operations.,15,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0126,Indian Army,Structure,Medium,MCQ,"Which Indian Army branch provides medical care to soldiers, including field hospitals near combat zones?",Army Ordnance Corps,Army Service Corps,Army Medical Corps,Military Nursing Service (a related but distinct service),C,"The Army Medical Corps runs field hospitals, ambulances, and medical units that support troops during operations.",Combat medics from this corps are often among the first responders on the battlefield.,15,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0127,Indian Army,Mechanised Forces,Medium,MCQ,The Mechanised Infantry Regiment primarily operates which type of vehicle?,Transport trucks only,Main battle tanks,Towed artillery guns,Infantry Combat Vehicles (like the BMP series),D,"Mechanised Infantry soldiers fight from and alongside Infantry Combat Vehicles, providing mobility and protection in combined arms operations.",This regiment works closely with the Armoured Corps in coordinated tank-infantry operations.,15,45,"{""Indian Army"",""Mechanised Forces""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0128,Indian Army,Artillery,Medium,MCQ,Which branch of the Indian Army operates howitzers and other long-range indirect-fire weapons?,Regiment of Artillery,Army Air Defence,Corps of Engineers,Armoured Corps,A,"The Regiment of Artillery provides fire support to infantry and armoured formations using guns, howitzers, and rocket systems.",Artillery is often called the 'god of war' due to its decisive role in shaping battlefield outcomes.,15,45,"{""Indian Army"",""Artillery""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0129,Indian Army,Women in Army,Medium,MCQ,"In recent years, women officers in the Indian Army have become eligible for which significant career development?","Only administrative roles, with no combat arms eligibility",Permanent Commission in most combat support and select combat arms,Command of infantry battalions only,Command of the Corps of Engineers only,B,"Following legal and policy reforms, women officers gained eligibility for Permanent Commission across most Army branches, expanding their career opportunities significantly.",This marked a major step in the gradual expansion of roles available to women in the Indian armed forces.,15,45,"{""Indian Army"",""Women in Army""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0130,Indian Army,Selection,Medium,MCQ,"Which body conducts psychological, group, and interview testing to select officers for the Indian armed forces?",National Testing Agency,"Union Public Service Commission (conducts the exam, not the full personality assessment)",Services Selection Board (SSB),Staff Selection Commission,C,"The SSB conducts a multi-day assessment involving psychological tests, group tasks, and interviews to select officer candidates.",The SSB process is designed to assess Officer Like Qualities (OLQs) rather than just academic knowledge.,15,45,"{""Indian Army"",""Selection""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0131,Indian Army,Selection,Medium,MCQ,The National Defence Academy entrance exam is conducted by which body?,Ministry of Defence directly,Staff Selection Commission,National Testing Agency,Union Public Service Commission (UPSC),D,"UPSC conducts the written NDA exam twice a year, followed by SSB interviews for shortlisted candidates.",Successful candidates then join the tri-service training at NDA Khadakwasla.,15,45,"{""Indian Army"",""Selection""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0132,Indian Army,Regiments,Medium,MCQ,Which Indian Army regiment is specifically associated with recruiting soldiers from hill and mountain regions of Uttarakhand and Himachal Pradesh?,Kumaon Regiment (and similar hill regiments like Garhwal Rifles),Madras Regiment,Sikh Light Infantry,Jat Regiment,A,The Kumaon and Garhwal regiments have a long history of recruiting from the hill districts of present-day Uttarakhand.,"Soldiers from these regions are noted for their skill in mountain warfare, an important asset in Himalayan operations.",15,45,"{""Indian Army"",""Regiments""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0133,Indian Army,Awards,Medium,MCQ,The 'Sena Medal' is awarded for which type of achievement in the Indian Army?,Only administrative excellence,"Individual acts of gallantry or distinguished service, of a lower precedence than the Vir Chakra tier",Sporting achievements only,Length of service alone,B,"The Sena Medal recognises gallantry or distinguished service and sits below the Param Vir Chakra, Maha Vir Chakra, and Vir Chakra in order of precedence.",It can be awarded for both wartime gallantry and peacetime distinguished service.,15,45,"{""Indian Army"",""Awards""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0134,Indian Army,Structure,Hard,MCQ,"Roughly how many active personnel does the Indian Army have, making it one of the largest standing armies in the world?","About 200,000","About 500,000",Over 1.2 million,Over 5 million,C,"The Indian Army is among the largest standing armies globally, with well over a million active personnel.",This makes it larger than the standing armies of most other countries in absolute troop numbers.,20,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0135,Indian Army,Uniforms & Traditions,Medium,MCQ,"The 'Beating Retreat' ceremony, held in Delhi, marks the formal conclusion of which annual event?",Navy Day celebrations,Independence Day celebrations,Army Day celebrations,Republic Day celebrations,D,"Beating Retreat is held on 29 January, marking the formal end of the multi-day Republic Day celebrations.","The ceremony features massed bands of the Army, Navy, and Air Force performing at Vijay Chowk in Delhi.",15,45,"{""Indian Army"",""Uniforms & Traditions""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0136,Indian Army,Ranks,Medium,MCQ,"Which is the correct order of Indian Army officer ranks from junior to senior: Captain, Major, Lieutenant Colonel, or a mixed-up order?","Captain, Major, Lieutenant Colonel","Major, Captain, Lieutenant Colonel","Lieutenant Colonel, Captain, Major","Major, Lieutenant Colonel, Captain",A,"The correct ascending order is Captain, then Major, then Lieutenant Colonel.",Promotion through these ranks typically depends on both time in service and performance evaluations.,15,45,"{""Indian Army"",""Ranks""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0137,Indian Army,Special Forces,Medium,MCQ,The Indian Army's Special Forces are primarily drawn from and trained within which regiment's structure?,The Corps of Signals,The Parachute Regiment (Special Forces battalions),The Army Medical Corps,The Regiment of Artillery,B,"Special Forces battalions fall under the Parachute Regiment's administrative structure, though they operate as a distinct elite force.","Selection for these units is famously demanding, with a high attrition rate among volunteers.",15,45,"{""Indian Army"",""Special Forces""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0138,Indian Army,Structure,Medium,MCQ,Which Indian Army command was more recently created to specifically address the desert warfare theatre?,Southern Command,Central Command,South Western Command,Northern Command,C,"South Western Command, headquartered in Jaipur, was raised to give focused attention to the Rajasthan desert sector bordering Pakistan.","Desert warfare requires specialised logistics, equipment, and tactics distinct from other terrains.",15,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0139,Indian Army,Regiments,Medium,MCQ,"Which regiment is known as the oldest Gorkha regiment in the Indian Army, with roots in the early 19th century?",5th Gorkha Rifles,11th Gorkha Rifles,3rd Gorkha Rifles,1st Gorkha Rifles,D,"The 1st Gorkha Rifles traces its origins to 1815, making it one of the oldest regiments in Indian military history.",Gorkha regiments have earned numerous gallantry awards across multiple wars and conflicts.,15,45,"{""Indian Army"",""Regiments""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0140,Indian Army,Structure,Medium,MCQ,Which formation level sits directly below a Corps in the Indian Army's hierarchy?,Division,Brigade,Battalion,Company,A,The hierarchy generally runs Corps > Division > Brigade > Battalion > Company > Platoon.,A single corps may control two or more divisions depending on its operational requirements.,15,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0141,Indian Army,Structure,Easy,MCQ,"What is the basic fighting unit of the Indian Army infantry, typically commanded by a Lieutenant Colonel?",Company,Battalion,Platoon,Brigade,B,"A battalion is the primary self-contained infantry unit, usually comprising around 900 to 1,000 soldiers across several companies.","Battalions often carry distinct regimental identities and histories, fostering strong esprit de corps.",10,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0142,Indian Army,Structure,Medium,MCQ,How many companies typically make up an infantry battalion in the Indian Army?,About twenty,Exactly two,About four to six rifle companies,Exactly one,C,An infantry battalion usually comprises several rifle companies along with support elements like signals and logistics.,Each company is further broken down into platoons and sections for tactical flexibility.,15,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0143,Indian Army,Uniforms & Traditions,Medium,MCQ,Which Indian Army headgear is distinctively associated with the Sikh Regiment and other Sikh soldiers?,The bush hat,The beret,The peaked cap,The turban (pagri),D,"Sikh soldiers traditionally wear the turban as part of their religious identity, accommodated within Army uniform regulations.",Different regiments have their own distinctive headgear traditions reflecting their regional and cultural heritage.,15,45,"{""Indian Army"",""Uniforms & Traditions""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0144,Indian Army,History,Medium,MCQ,The Chief of the Army Staff position was created after India transitioned away from which earlier title held by the force's head?,"Commander-in-Chief, India",Field Marshal of India,Supreme Commander,Adjutant General,A,"The title 'Commander-in-Chief' was phased out in 1955 in favour of Chief of the Army Staff, aligning better with India's republican structure.",This change also applied similarly to the titles used for the Navy and Air Force chiefs.,15,45,"{""Indian Army"",""History""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0145,Indian Army,Structure,Medium,MCQ,"Roughly how many infantry, armoured, and other divisions does the Indian Army field across its commands?",Exactly five,Several dozen divisions across all commands,Exactly fifty across just one command,"Two, one per border",B,"The exact number varies with reorganisation, but the Army fields several dozen divisions of various types (infantry, armoured, mountain) spread across its seven commands.",Mountain divisions in particular have grown in number since the 1962 war to strengthen Himalayan defences.,15,45,"{""Indian Army"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0146,Indian Army,Corps,Medium,MCQ,Which support arm of the Army is responsible for handling prisoners of war and administrative/legal matters?,Army Postal Service,Army Service Corps,The Judge Advocate General's Department (for legal matters),Corps of Military Police,C,"The Judge Advocate General's Department advises on military law, including matters relating to courts martial and legal proceedings.","Separately, the Corps of Military Police handles discipline, traffic control, and physical security matters.",15,45,"{""Indian Army"",""Corps""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0147,Indian Army,Corps,Medium,MCQ,"Which corps of the Indian Army is responsible for maintaining discipline, traffic control, and providing security at Army installations?",Pioneer Corps,Army Postal Service,Army Educational Corps,Corps of Military Police,D,The Corps of Military Police performs functions similar to civilian police but within the military context.,They also play a role in managing prisoners of war and maintaining order in forward areas.,15,45,"{""Indian Army"",""Corps""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0148,Indian Navy,Ranks,Easy,MCQ,"What is the highest five-star rank in the Indian Navy, equivalent to the Army's Field Marshal?",Admiral of the Fleet,Admiral,Vice Admiral,Commodore,A,"Admiral of the Fleet is the Navy's highest rank, sitting above Admiral, though it is a rarely conferred honorary distinction.","Its Air Force equivalent, Marshal of the Air Force, has been conferred only once, on Arjan Singh.",10,45,"{""Indian Navy"",""Ranks""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0149,Indian Navy,Ranks,Easy,MCQ,Which rank heads the Indian Navy as its professional chief?,Chief of Defence Staff,Chief of the Naval Staff,Flag Officer Commanding-in-Chief,Vice Chief of the Naval Staff,B,"The Chief of the Naval Staff (CNS), holding the rank of Admiral, is the senior-most serving naval officer.","The CNS oversees all naval operations, training, and administration across the three naval commands.",10,45,"{""Indian Navy"",""Ranks""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0150,Indian Navy,Ranks,Medium,MCQ,Which Indian Navy rank is equivalent to a Colonel in the Army?,Commodore,Commander,Captain,Lieutenant Commander,C,"A Navy Captain is roughly equivalent in seniority to an Army Colonel, both commanding significant units or ships.",Naval Captains often command major warships like destroyers or frigates.,15,45,"{""Indian Navy"",""Ranks""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0151,Indian Navy,Ranks,Medium,MCQ,Which Indian Navy rank is equivalent to a Brigadier in the Army?,Commander,Captain,Rear Admiral,Commodore,D,"Commodore sits between Captain and Rear Admiral, similar to how Brigadier sits between Colonel and Major General in the Army.",Commodores often command naval flotillas or hold senior staff positions.,15,45,"{""Indian Navy"",""Ranks""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0152,Indian Navy,Ranks,Medium,MCQ,Which Indian Navy rank is equivalent to a Major General in the Army?,Rear Admiral,Vice Admiral,Commodore,Admiral,A,"A Rear Admiral typically commands significant naval formations, paralleling a Major General's role in the Army.",Rear Admirals often head key operational or training establishments within the Navy.,15,45,"{""Indian Navy"",""Ranks""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0153,Indian Navy,Ranks,Medium,MCQ,Which is the most junior commissioned officer rank in the Indian Navy?,Lieutenant,Sub-Lieutenant,"Midshipman (a trainee rank, not fully commissioned)",Lieutenant Commander,B,"Sub-Lieutenant is the first fully commissioned officer rank after initial training, following the trainee Midshipman stage.",Officers typically spend a few years at this rank before promotion to Lieutenant.,15,45,"{""Indian Navy"",""Ranks""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0154,Indian Navy,Structure,Easy,MCQ,How many operational commands does the Indian Navy have?,Seven,Five,Three,Two,C,"The Indian Navy has three commands: Western, Eastern, and Southern Naval Commands.",Each command is headed by a Flag Officer Commanding-in-Chief.,10,45,"{""Indian Navy"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0155,Indian Navy,Structure,Medium,MCQ,The Western Naval Command of the Indian Navy is headquartered in which city?,Chennai,Visakhapatnam,Kochi,Mumbai,D,"Mumbai serves as the headquarters for Western Naval Command, overseeing operations along India's western seaboard.",Mumbai is also home to some of the Navy's oldest dockyards and shore establishments.,15,45,"{""Indian Navy"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0156,Indian Navy,Structure,Medium,MCQ,The Eastern Naval Command of the Indian Navy is headquartered in which city?,Visakhapatnam,Mumbai,Kochi,Kolkata,A,"Visakhapatnam hosts Eastern Naval Command, which oversees the Bay of Bengal and eastern seaboard operations.",It is also the base for the Navy's Eastern Fleet and a hub for submarine operations.,15,45,"{""Indian Navy"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0157,Indian Navy,Structure,Medium,MCQ,"The Southern Naval Command, primarily a training command, is headquartered in which city?",Chennai,Kochi,Mumbai,Port Blair,B,"Southern Naval Command in Kochi focuses primarily on training, hosting the Indian Naval Academy nearby at Ezhimala.",It plays a crucial role in shaping the professional development of naval officers and sailors.,15,45,"{""Indian Navy"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0158,Indian Navy,Structure,Medium,MCQ,"Which tri-service command, focused on the strategically important Andaman and Nicobar Islands, is headquartered at Port Blair?",Integrated Defence Staff,Strategic Forces Command,Andaman and Nicobar Command,Southern Naval Command,C,"The Andaman and Nicobar Command is India's only tri-service theatre command, integrating Army, Navy, and Air Force assets.",Its location gives India a strategic vantage point over key Indian Ocean shipping lanes.,15,45,"{""Indian Navy"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0159,Indian Navy,Aircraft Carriers,Easy,MCQ,"What was the name of India's first aircraft carrier, commissioned in 1961?",INS Delhi,INS Viraat,INS Vikramaditya,INS Vikrant,D,"INS Vikrant, originally a British-built carrier, served the Navy for three decades before decommissioning.","The name was later reused for India's first indigenously built aircraft carrier, commissioned in 2022.",10,45,"{""Indian Navy"",""Aircraft Carriers""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0160,Indian Navy,Aircraft Carriers,Medium,MCQ,"INS Vikramaditya, commissioned in 2013, was originally built in which country?",Soviet Union/Russia,United Kingdom,France,United States,A,INS Vikramaditya was extensively refitted from the former Soviet/Russian carrier Admiral Gorshkov.,It serves as the Navy's primary carrier alongside the indigenously built INS Vikrant.,15,45,"{""Indian Navy"",""Aircraft Carriers""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0161,Indian Navy,Aircraft Carriers,Medium,MCQ,"India's first indigenously designed and built aircraft carrier, commissioned in 2022, is named?",INS Viraat,INS Vikrant,INS Vishal,INS Vikramaditya,B,"The new INS Vikrant was built at Cochin Shipyard, marking a major milestone in India's indigenous shipbuilding capability.",Its commissioning made India one of the few nations capable of designing and building a carrier of this class domestically.,15,45,"{""Indian Navy"",""Aircraft Carriers""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0162,Indian Navy,Submarines,Medium,MCQ,INS Arihant is significant as India's first indigenously built submarine of which type?,Nuclear-powered attack submarine,Conventional diesel-electric submarine,Nuclear-powered ballistic missile submarine (SSBN),Midget submarine,C,"INS Arihant gives India a sea-based leg of its nuclear triad, completing land, air, and sea deterrent capabilities.","It was built under the secretive Advanced Technology Vessel programme, decades in development.",15,45,"{""Indian Navy"",""Submarines""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0163,Indian Navy,Submarines,Medium,MCQ,"INS Chakra, leased from Russia, was which type of submarine?",Midget submarine,Diesel-electric submarine,Ballistic missile submarine,Nuclear-powered attack submarine (SSN),D,INS Chakra was a Russian Akula-class nuclear attack submarine leased to India to build operational experience with nuclear submarines.,India has leased Russian nuclear submarines on more than one occasion under similar arrangements.,15,45,"{""Indian Navy"",""Submarines""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0164,Indian Navy,Submarines,Medium,MCQ,The Kalvari-class submarines inducted by the Indian Navy in recent years are built with assistance from which country?,France,Russia,Germany,United States,A,The Kalvari-class (Scorpene-class) submarines are built at Mazagon Dock in Mumbai under technology transfer from French company Naval Group.,This programme represents a major step in indigenising India's submarine construction capability.,15,45,"{""Indian Navy"",""Submarines""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0165,Indian Navy,Ships,Medium,MCQ,"What class of vessel is INS Kolkata, commissioned in 2014?",Frigate,Guided-missile destroyer,Corvette,Aircraft carrier,B,"INS Kolkata is the lead ship of the Kolkata-class stealth guided-missile destroyers, among the most advanced ships built in India.",These destroyers carry a mix of surface-to-air and anti-ship missile systems.,15,45,"{""Indian Navy"",""Ships""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0166,Indian Navy,Ships,Medium,MCQ,The Shivalik-class vessels of the Indian Navy are classified as which type of ship?,Corvettes,Destroyers,Stealth frigates,Aircraft carriers,C,Shivalik-class frigates were among the first Indian warships built with significant stealth design features.,They are equipped with a mix of Indian and foreign-sourced weapons and sensor systems.,15,45,"{""Indian Navy"",""Ships""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0167,Indian Navy,Ships,Medium,MCQ,INS Vikrant and INS Vikramaditya together give India the capability to operate how many aircraft carriers simultaneously?,Four,Three,One,Two,D,"With both carriers in service, India has the ability to operate two carrier battle groups at once, a rare capability held by few navies.",This dual-carrier capability significantly enhances India's power projection in the Indian Ocean Region.,15,45,"{""Indian Navy"",""Ships""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0168,Indian Navy,Marine Commandos,Medium,MCQ,"MARCOS, the Indian Navy's special forces unit, is formally known by which name?",Marine Commando Force,Special Frontier Force,National Security Guard,Garud Commando Force,A,"MARCOS specialises in amphibious and maritime special operations, including counter-terrorism at sea.",Their training is considered among the most demanding of any special forces unit in India.,15,45,"{""Indian Navy"",""Marine Commandos""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0169,Indian Navy,History,Easy,MCQ,Indian Navy Day is celebrated on which date each year?,16 December,4 December,26 July,15 January,B,4 December marks the anniversary of Operation Trident's strike on Karachi harbour during the 1971 war.,Naval bases across the country hold commemorative events and ceremonies on this day.,10,45,"{""Indian Navy"",""History""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0170,Indian Navy,History,Medium,MCQ,The Indian Navy traces its formal modern origins to which earlier colonial-era naval force?,The East India Company's Bombay Marine exclusively,"The Royal Indian Marine only, with no other predecessor",The Royal Indian Navy,The British Royal Navy's India Squadron directly renamed,C,"The Royal Indian Navy, itself evolving from earlier forces like the Bombay Marine, was renamed the Indian Navy after independence.",The Navy has undergone significant modernisation and expansion since those early origins.,15,45,"{""Indian Navy"",""History""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0171,Indian Navy,Bases,Medium,MCQ,"INS Kadamba, one of the largest naval bases in Asia, is located in which state?",Tamil Nadu,Kerala,Goa,Karnataka (Karwar),D,INS Kadamba at Karwar is a major and expanding naval base under the Navy's Project Seabird development plan.,It is designed to accommodate a significant portion of the Western Fleet as the Navy grows.,15,45,"{""Indian Navy"",""Bases""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0172,Indian Navy,Bases,Medium,MCQ,"INS Rajali, a key naval air station operating maritime patrol aircraft, is located near which city?","Arakkonam, Tamil Nadu","Kochi, Kerala",Goa,"Visakhapatnam, Andhra Pradesh",A,INS Rajali hosts long-range maritime patrol aircraft used for surveillance across the Indian Ocean Region.,It plays a key role in anti-submarine warfare and maritime domain awareness.,15,45,"{""Indian Navy"",""Bases""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0173,Indian Navy,Aircraft,Medium,MCQ,"Which maritime patrol aircraft, acquired from the United States, significantly boosted Indian Navy surveillance capabilities?",C-130J,P-8I Poseidon,Il-38,Dornier 228,B,"The P-8I is a variant of the P-8 Poseidon customised for Indian requirements, used for anti-submarine and maritime patrol missions.",It represents one of the largest defence deals between India and the United States.,15,45,"{""Indian Navy"",""Aircraft""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0174,Indian Navy,Aircraft,Medium,MCQ,The MiG-29K serves the Indian Navy primarily in which role?,Transport aircraft,Maritime patrol aircraft,Carrier-based fighter aircraft,Anti-submarine helicopter,C,"The MiG-29K operates from India's aircraft carriers, providing air defence and strike capability for the carrier battle group.",It replaced the earlier Sea Harrier as the Navy's primary carrier-based fighter.,15,45,"{""Indian Navy"",""Aircraft""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0175,Indian Navy,History,Medium,MCQ,The Indian Navy played a significant blockading role against which country's coast during the 1971 war?,"Nepal, a landlocked country with no coast",Sri Lanka,Myanmar,East Pakistan (present-day Bangladesh),D,"The Navy enforced a blockade of East Pakistani ports, cutting off supplies and reinforcements to Pakistani forces there.",This blockade significantly contributed to the rapid collapse of Pakistani resistance in the eastern theatre.,15,45,"{""Indian Navy"",""History""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0176,Indian Navy,Structure,Medium,MCQ,"The Indian Coast Guard, though a distinct organisation from the Navy, primarily operates under which ministry?",Ministry of Defence,Ministry of Home Affairs,Ministry of Shipping,Ministry of External Affairs,A,"The Coast Guard operates under the Ministry of Defence but focuses on coastal security, search and rescue, and law enforcement at sea, distinct from the Navy's combat role.",It was established in 1978 to address the need for dedicated coastal security and maritime law enforcement.,15,45,"{""Indian Navy"",""Structure""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
DEF-0177,Indian Navy,Anti-Piracy,Medium,MCQ,The Indian Navy has conducted sustained anti-piracy patrols primarily in which body of water?,South China Sea,Gulf of Aden,Mediterranean Sea,Caribbean Sea,B,"Indian Navy ships have patrolled the Gulf of Aden for years, protecting merchant shipping from piracy originating near Somalia.",These patrols have also involved international coordination with other navies conducting similar missions.,15,45,"{""Indian Navy"",""Anti-Piracy""}",NDA/CDS/AFCAT/SSB,AI-generated for Forge platform
